id,area,delay,status,recipe,ADP,delay_bucket
3943,17329.37,889.28,SUCCESS,refactor | rewrite -z | refactor | resub -z | resub | resub -z | refactor -z | refactor -z | refactor | resub | resub -z | rewrite | rewrite -z | resub -z | resub | refactor | refactor | rewrite -z | balance | rewrite,15410662.153599998,5
1690,17409.97,881.86,SUCCESS,refactor | refactor | refactor | refactor | rewrite -z | rewrite | refactor | refactor -z | refactor -z | resub -z | rewrite -z | resub -z | rewrite | rewrite | resub | rewrite -z | resub | balance | balance | resub,15353156.1442,5
2881,17457.31,889.92,SUCCESS,resub | refactor -z | resub | rewrite | balance | refactor | refactor -z | rewrite | refactor -z | refactor -z | resub -z | rewrite -z | rewrite | balance | resub | rewrite -z | balance | balance | rewrite | rewrite,15535609.315200001,5
3463,17465.56,896.48,SUCCESS,refactor -z | resub | rewrite | resub -z | refactor -z | refactor | resub | resub | balance | refactor -z | resub -z | balance | refactor -z | rewrite | balance | refactor | refactor | balance | rewrite -z | refactor,15657525.2288,5
8558,17497.48,885.84,SUCCESS,refactor -z | refactor -z | refactor -z | refactor | resub | resub -z | refactor -z | rewrite -z | rewrite | resub | balance | resub -z | resub | rewrite -z | refactor | refactor | balance | resub | resub | resub,15499967.6832,5
9095,17051.13,917.21,SUCCESS,refactor -z | rewrite -z | refactor | resub -z | rewrite | balance | balance | resub | refactor | resub -z | resub -z | resub | rewrite | rewrite -z | refactor | refactor -z | balance | refactor | rewrite -z | balance,15639466.947300002,6
635,17078.8,903.67,SUCCESS,resub -z | resub | resub -z | refactor -z | refactor -z | rewrite | rewrite | resub -z | rewrite | balance | refactor | resub | refactor -z | balance | refactor -z | balance | refactor -z | balance | rewrite | rewrite,15433599.195999999,6
3797,17177.48,915.12,SUCCESS,refactor | refactor | refactor | resub -z | rewrite -z | refactor -z | rewrite | refactor | resub -z | balance | resub | resub | resub -z | resub -z | balance | refactor -z | refactor | balance | balance | balance,15719455.4976,6
3315,17217.38,915.59,SUCCESS,refactor -z | refactor -z | refactor -z | resub -z | resub | rewrite | rewrite -z | rewrite | rewrite -z | rewrite | refactor | resub -z | balance | rewrite -z | refactor -z | rewrite -z | refactor | balance | rewrite | resub,15764060.954200001,6
6071,17243.98,909.68,SUCCESS,resub -z | rewrite -z | refactor | resub | refactor -z | resub | refactor -z | balance | rewrite | balance | rewrite -z | refactor -z | refactor -z | refactor | balance | rewrite | balance | rewrite | refactor | resub -z,15686503.7264,6
4241,17270.58,911.39,SUCCESS,refactor | resub -z | refactor | rewrite | refactor -z | refactor -z | refactor -z | rewrite | refactor | rewrite | refactor -z | balance | rewrite -z | rewrite -z | resub -z | resub | refactor | resub | balance | rewrite -z,15740233.906200001,6
1733,17320.59,911.41,SUCCESS,rewrite -z | refactor -z | refactor | rewrite | balance | balance | refactor -z | balance | resub -z | resub | refactor -z | balance | refactor | rewrite -z | balance | rewrite | rewrite | refactor -z | rewrite | resub,15786158.9319,6
4014,17340.01,912.29,SUCCESS,resub -z | refactor | refactor -z | refactor | rewrite -z | refactor -z | refactor -z | resub -z | balance | refactor | refactor -z | balance | resub -z | resub | refactor | resub -z | resub | resub | resub | refactor -z,15819117.722899998,6
7775,17340.81,903.38,SUCCESS,refactor -z | resub | refactor -z | resub -z | refactor -z | resub -z | refactor | resub -z | balance | resub | resub | refactor | refactor -z | resub -z | rewrite | refactor -z | refactor | resub | balance | balance,15665340.937800001,6
1658,17379.38,905.91,SUCCESS,resub | resub -z | resub -z | refactor -z | refactor -z | resub | refactor -z | refactor | rewrite | rewrite | refactor | resub | refactor | balance | resub -z | resub | balance | balance | refactor | refactor,15744154.1358,6
9395,17061.51,920.45,SUCCESS,resub | rewrite | refactor -z | resub -z | resub -z | resub | refactor | refactor -z | refactor -z | refactor -z | refactor -z | refactor | resub -z | refactor | refactor | rewrite | resub | refactor | balance | resub,15704266.8795,7
7447,17110.72,936.6,SUCCESS,resub -z | resub -z | resub | resub -z | resub | resub -z | refactor -z | refactor -z | resub -z | refactor | resub | refactor -z | refactor | resub -z | balance | rewrite | refactor -z | balance | rewrite -z | balance,16025900.352000002,7
557,17208.07,931.6,SUCCESS,rewrite -z | refactor -z | resub | resub -z | rewrite | refactor | resub | resub | refactor -z | resub | refactor | resub | resub -z | refactor | refactor | refactor | refactor | resub -z | resub | balance,16031038.012,7
3051,17220.31,937.67,SUCCESS,rewrite | resub -z | rewrite -z | refactor -z | refactor -z | resub | rewrite -z | balance | refactor -z | rewrite | resub -z | resub -z | resub -z | refactor -z | rewrite -z | refactor -z | resub | refactor -z | balance | resub,16146968.0777,7
7820,17224.3,935.76,SUCCESS,refactor -z | rewrite | refactor -z | refactor | rewrite -z | rewrite | resub | rewrite | balance | rewrite -z | refactor | rewrite -z | resub | refactor -z | refactor -z | refactor | resub | balance | resub | rewrite,16117810.967999998,7
6772,17253.82,931.97,SUCCESS,rewrite | refactor | refactor | resub -z | refactor | refactor | refactor -z | refactor -z | refactor -z | refactor | balance | resub | refactor -z | rewrite | refactor -z | balance | balance | refactor -z | rewrite -z | resub,16080042.6254,7
8500,17318.73,927.39,SUCCESS,refactor | rewrite -z | resub | refactor -z | balance | refactor | refactor | rewrite -z | refactor -z | resub | resub -z | balance | refactor | balance | resub | balance | rewrite -z | resub | balance | rewrite,16061217.0147,7
5646,17341.87,938.27,SUCCESS,rewrite | refactor -z | refactor -z | refactor -z | rewrite | rewrite | refactor | resub | rewrite | refactor | refactor | rewrite -z | resub -z | resub | rewrite -z | resub -z | resub | refactor -z | resub -z | refactor,16271356.364899999,7
2475,17368.2,921.68,SUCCESS,refactor | refactor -z | refactor -z | resub | refactor -z | rewrite -z | rewrite | rewrite -z | balance | rewrite | refactor | rewrite -z | refactor -z | resub -z | balance | refactor | rewrite -z | resub -z | resub | refactor,16007922.576,7
7634,17394.01,924.86,SUCCESS,resub | refactor -z | rewrite | refactor -z | rewrite -z | rewrite | refactor -z | rewrite | balance | refactor | resub | refactor | resub | rewrite | resub -z | refactor -z | refactor | balance | balance | resub -z,16087024.088599999,7
6779,16700.01,955.58,SUCCESS,rewrite -z | refactor | refactor -z | resub | rewrite | refactor -z | refactor | rewrite | rewrite | resub | resub | resub | resub -z | refactor -z | resub -z | balance | refactor -z | rewrite -z | balance | rewrite,15958195.555799998,8
3886,16852.16,952.95,SUCCESS,rewrite -z | rewrite | resub -z | refactor | refactor | resub | rewrite | refactor -z | resub | resub | refactor -z | refactor -z | balance | refactor -z | refactor -z | refactor -z | resub | balance | rewrite | refactor,16059265.872000001,8
2183,16919.99,955.84,SUCCESS,refactor | resub -z | rewrite -z | refactor | resub | refactor -z | refactor | refactor -z | rewrite | resub | resub | refactor -z | resub | rewrite -z | refactor -z | balance | balance | refactor | rewrite -z | balance,16172803.241600001,8
8538,17136.52,952.93,SUCCESS,rewrite | resub | refactor | refactor -z | refactor -z | resub | resub -z | refactor -z | balance | balance | refactor -z | rewrite | refactor | refactor -z | rewrite | refactor | rewrite | balance | rewrite -z | refactor,16329904.0036,8
8226,17193.97,946.69,SUCCESS,resub -z | rewrite | refactor -z | refactor | resub | resub -z | resub | rewrite | refactor -z | refactor | refactor -z | balance | balance | refactor -z | refactor | balance | refactor -z | balance | balance | rewrite -z,16277359.459300002,8
6025,17317.93,948.61,SUCCESS,resub -z | resub | refactor | resub -z | refactor -z | refactor -z | resub -z | rewrite | resub | rewrite | resub | refactor -z | rewrite | refactor -z | balance | refactor | balance | rewrite -z | refactor -z | rewrite,16427961.577300001,8
8639,17336.02,947.18,SUCCESS,rewrite -z | rewrite | refactor -z | refactor -z | refactor -z | resub | resub -z | resub | refactor -z | balance | rewrite -z | resub -z | resub | rewrite | rewrite | rewrite | rewrite -z | rewrite | balance | balance,16420331.4236,8
1732,17426.99,943.4,SUCCESS,rewrite -z | refactor | refactor -z | refactor | rewrite | balance | refactor -z | refactor -z | resub -z | rewrite -z | rewrite | resub | rewrite | refactor | rewrite | resub -z | refactor -z | balance | resub -z | rewrite,16440622.366,8
851,16652.13,978.43,SUCCESS,rewrite -z | refactor -z | rewrite | resub | refactor -z | balance | balance | rewrite | rewrite -z | balance | resub | resub | refactor -z | rewrite -z | resub -z | rewrite -z | refactor | balance | refactor -z | resub,16292943.5559,9
